PLAYER_ID,GAME_ID,TWO_FGM,TWO_FGA,THREE_FGM,THREE_FGA,FTM,FTA,OFFENSIVE_REBOUNDS,DEFENSIVE_REBOUNDS,ASSITS,STEALS,BLOCKS,TURNOVER
23,1,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,2,0,0,2,4,0,0,0,0,0,2
10,1,0,0,0,0,0,0,0,0,0,0,0,0
11,1,5,5,0,1,6,8,3,5,3,0,1,0
13,1,1,1,0,0,0,0,0,0,0,1,0,0
15,1,2,5,1,1,0,0,3,7,3,0,1,0
20,1,2,5,0,3,4,6,1,5,3,2,0,9
1,1,0,0,0,0,0,0,3,1,0,0,0,0
24,1,5,7,1,3,8,8,0,4,0,0,1,1
23,3,0,0,0,1,0,0,0,0,0,0,0,1
3,3,0,0,0,1,1,2,0,0,0,0,0,0
4,3,1,1,0,0,0,1,1,0,1,0,0,1
10,3,3,4,5,6,1,1,0,1,5,5,0,0
11,3,2,2,0,1,0,0,0,1,1,2,0,3
13,3,3,6,0,0,2,2,4,5,0,2,3,2
15,3,2,4,1,1,2,2,2,1,2,3,0,0
20,3,4,5,1,3,0,0,0,2,3,1,2,0
1,3,0,0,0,1,0,0,1,0,1,1,0,0
24,3,5,8,1,2,0,0,1,3,2,5,1,0
3,10,0,0,0,0,0,0,0,0,0,0,0,0
4,10,0,1,0,0,0,0,0,0,0,0,0,0
10,10,5,9,3,8,0,0,0,4,0,1,0,5
11,10,3,3,0,1,0,0,1,1,1,0,0,1
13,10,3,5,0,5,3,6,6,2,0,2,1,2
15,10,0,0,0,0,0,0,0,0,0,0,0,0
20,10,0,3,0,2,2,2,2,4,2,1,0,2
1,10,0,1,0,1,0,0,0,2,2,0,0,1
22,10,0,0,0,0,0,0,0,0,0,0,0,0
23,10,0,0,0,0,0,0,0,0,0,0,0,0
24,10,7,9,0,7,2,2,2,7,0,2,2,1
25,10,0,0,0,0,0,0,0,0,0,0,0,0
