GAME_ID,OPPONENT,LOCATION,DATE,SEASON
1,Pewaukee,Away,11/19/2022,2023
2,Verona,Neutral,11/26/2022,2023
3,Ashwaubenon,Home,12/01/2022,2023
4,Nazareth Academy (IL),Neutral,12/03/2022,2023
5,Sheboygan North,Home,12/08/2022,2023
6,Pulaski,Home,12/13/2022,2023
7,Kettle Moraine,Away,12/28/2022,2023
10,Pewaukee,Home,11/18/2023,2024
11,Manitowoc Lincoln,Home,11/23/2023,2024
12,Sheboygan North,Away,12/1/2023,2024
13,Pulaski,Home,12/7/2023,2024
14,Bay Port,Home,12/12/2023,2024
15,Green Bay Preble,Away,12/15/2023,2024
16,Sheboygan South,Home,12/22/2023,2024
17,Rockvale,Neutral,12/27/2023,2024
18,Auburn,Neutral,12/28/2023,2024
19,CPA,Neutral,12/29/2023,2024
20,De Pere,Home,1/4/2024,2024
21,Green Bay Southwest,Home,1/11/2024,2024
22,Sheboygan North,Home,1/16/2024,2024
23,Pulaski,Away,1/19/2024,2024
24,Bay Port,Away,1/23/2024,2024
25,Green Bay Preble,Home,1/27/2024,2024
26,Ashwaubenon,Away,1/29/2024,2024
27,Manitowoc Lincoln,Away,1/30/2024,2024
28,Sheboygan South,Away,2/2/2024,2024
29,De Pere,Away,2/6/2024,2024
30,Green Bay Southwest,Away,2/9/2024,2024
31,Hortonville,Home,2/13/2024,2024
32,Ashwaubenon,Home,2/16/2024,2024
33,Seymour,Home,2/23/2024,2024
34,Shawano,Home,2/24/2024,2024
35,Green Bay Southwest,Neutral,3/2/2024,2024
36,Menomonie,Neutral,3/4/2024,2024
37,Wauwatosa East,Neutral,3/8/2024,2024
38,Pewaukee,Neutral,3/9/2024,2024
