GAME,GAME_ID,T_ID,OPPONENT,DATE,PLAYER_ID,SHOT_SPOT,MAKE,ATTEMPT,XSPOT,YSPOT
11,1,1,Pewaukee,11/19/2022,10,RB2,0,1,-65,0
11,1,1,Pewaukee,11/19/2022,1,LB2,1,1,65,0
11,1,1,Pewaukee,11/19/2022,11,LE2,0,1,65,150
11,1,1,Pewaukee,11/19/2022,1,ML2,1,1,0,30
11,1,1,Pewaukee,11/19/2022,1,ML2,0,1,0,30
11,1,1,Pewaukee,11/19/2022,1,LE2,0,1,65,150
11,1,1,Pewaukee,11/19/2022,1,RE2,1,1,-65,150
11,2,2,Verona,11/26/2022,10,FT2,1,1,0,150
11,2,2,Verona,11/26/2022,1,LE2,1,1,65,150
11,2,2,Verona,11/26/2022,1,FT2,1,1,0,150
11,2,2,Verona,11/26/2022,1,LW3,0,1,-150,175
12,5,5,Sheboygan North,12/08/2022,15,LB2,1,1,65,0
11,8,8,Kimberly,11/11/2023,24,TK3,0,1,0,225
11,8,8,Kimberly,11/11/2023,13,RB2,1,1,-65,0
11,8,8,Kimberly,11/11/2023,10,LB2,0,1,65,0
11,8,8,Kimberly,11/11/2023,13,RB2,0,1,-65,0
11,8,8,Kimberly,11/11/2023,13,LB2,1,1,65,0
11,8,8,Kimberly,11/11/2023,11,RB2,1,1,-65,0
11,8,8,Kimberly,11/11/2023,24,LB2,0,1,65,0
11,8,8,Kimberly,11/11/2023,13,RB2,1,1,-65,0
11,8,8,Kimberly,11/11/2023,10,TK3,0,1,0,225
11,8,8,Kimberly,11/11/2023,10,LB2,0,1,65,0
11,10,10,Pewaukee,11/18/2023,10,TK3,0,1,0,225
11,8,8,Kimberly,11/11/2023,24,RW3,1,1,150,175
11,8,8,Kimberly,11/11/2023,2,LB2,1,1,65,0
11,8,8,Kimberly,11/11/2023,24,RB2,1,1,-65,0
11,8,8,Kimberly,11/11/2023,3,LB2,1,1,65,0
11,8,8,Kimberly,11/11/2023,2,RC3,0,1,225,0
11,8,8,Kimberly,11/11/2023,11,ML2,0,1,0,30
