GAME_ID,PLAYER_ID,TIME,HALF,EVENT_TYPE,TEAM_SCORE,OPPONENT_SCORE,SHOT_SPOT,SHOT_DEFENSE,MAKE_MISS
1,1,0:0,FIRST HALF,ASSIST,0,0,LB2,OPEN,Y
1,10,0:0,FIRST HALF,SHOT_ATTEMPT,4,0,RB2,OPEN,N
1,1,0:0,FIRST HALF,SHOT_ATTEMPT,22,0,LB2,OPEN,Y
1,11,0:0,FIRST HALF,SHOT_ATTEMPT,31,0,LE2,OPEN,N
1,1,0:0,FIRST HALF,SHOT_ATTEMPT,0,0,ML2,HEAVILY_GUARDED,Y
1,1,0:0,FIRST HALF,SHOT_ATTEMPT,0,0,ML2,OPEN,N
1,1,0:0,FIRST HALF,SHOT_ATTEMPT,0,0,LE2,OPEN,N
1,1,0:0,FIRST HALF,SHOT_ATTEMPT,0,0,RE2,OPEN,Y
2,10,0:0,FIRST HALF,SHOT_ATTEMPT,0,0,FT2,OPEN,Y
2,1,0:0,FIRST HALF,SHOT_ATTEMPT,0,0,LE2,OPEN,Y
2,1,0:0,FIRST HALF,SHOT_ATTEMPT,0,0,FT2,OPEN,Y
2,1,0:0,FIRST HALF,SHOT_ATTEMPT,0,0,LW3,OPEN,N
5,15,0:0,FIRST HALF,SHOT_ATTEMPT,0,0,LB2,OPEN,Y
8,24,19:30,FIRST HALF,SHOT_ATTEMPT,0,0,TK3,GUARDED,N
8,24,19:12,FIRST HALF,D_REBOUND,0,0,LB2,OPEN,Y
8,24,19:12,FIRST HALF,DREW FOUL,0,0,LB2,OPEN,Y
8,10,20:0,FIRST HALF,SUB_IN,0,0,LB2,OPEN,Y
8,11,20:0,FIRST HALF,SUB_IN,0,0,LB2,OPEN,Y
10,13,20:0,FIRST HALF,SUB_IN,0,0,LB2,OPEN,Y
8,20,20:0,FIRST HALF,SUB_IN,0,0,LB2,OPEN,Y
8,24,20:0,FIRST HALF,SUB_IN,0,0,LB2,OPEN,Y
8,13,18:43,FIRST HALF,SHOT_ATTEMPT,2,0,RB2,OPEN,Y
8,11,18:45,FIRST HALF,ASSIST,2,0,LB2,OPEN,Y
8,10,18:1,FIRST HALF,SHOT_ATTEMPT,2,0,LB2,HEAVILY_GUARDED,N
10,13,18:1,FIRST HALF,O_REBOUND,2,0,LB2,OPEN,Y
8,13,17:59,FIRST HALF,SHOT_ATTEMPT,2,0,RB2,HEAVILY_GUARDED,N
8,13,17:55,FIRST HALF,SHOT_ATTEMPT,4,0,LB2,HEAVILY_GUARDED,Y
8,11,17:48,FIRST HALF,COMMIT FOUL,4,0,LB2,OPEN,Y
8,10,17:29,FIRST HALF,COMMIT FOUL,4,1,LB2,OPEN,Y
8,11,16:41,FIRST HALF,SHOT_ATTEMPT,6,1,RB2,GUARDED,Y
8,11,16:10,FIRST HALF,D_REBOUND,6,1,LB2,OPEN,Y
8,24,20:0,FIRST HALF,SHOT_ATTEMPT,6,1,LB2,HEAVILY_GUARDED,N
